id,cluster_id,user_id
1,2,17405
2,22,26962
3,2,40861
4,2,69530
5,1,69827
6,1,2216
7,2,71586
8,2,3664
9,2,46803
10,2,68019
11,2,2352
12,2,29456
13,2,62694
14,2,34132
15,2,56227
16,2,68644
17,2,49188
18,3,9105
19,2,40216
20,2,58543
21,2,69564
22,2,22713
23,2,20543
24,2,9662
25,2,65372
26,2,10308
27,1,66182
28,3,50697
29,2,18149
30,2,26081
31,0,70244
32,2,43203
33,2,3346
34,2,64696
35,2,53420
36,2,64750
37,2,33309
38,2,52357
39,1,14948
40,2,19296
41,2,48591
42,2,33726
43,2,29518
44,2,68880
45,2,12736
46,2,51851
47,2,49555
48,13,6238
49,2,26673
50,2,28906
51,12,25665
52,2,71204
53,2,58324
54,2,39600
55,2,39248
56,2,26806
57,2,7662
58,2,13978
59,2,111
60,2,27110
61,2,28245
62,2,4356
63,8,59804
64,2,53575
65,8,70568
66,0,11101
67,2,21295
68,2,24375
69,8,32121
70,1,29027
71,3,61616
72,9,47270
73,12,71328
74,1,71502
75,1,43035
76,12,57167
77,1,9087
78,12,68923
79,1,66727
80,2,64954
81,12,41836
82,2,1182
83,8,19968
84,8,58776
85,1,41308
86,1,29781
87,1,50163
88,12,20393
89,12,12082
90,12,51342
91,2,20384
92,2,32384
93,3,57124
94,2,52945
95,2,27677
96,2,52989
97,2,34791
98,8,71351
99,3,19360
100,2,20736
101,2,4579
102,1,60363
103,12,71527
104,2,63411
105,2,29468
106,2,59289
107,1,66641
108,1,44279
109,2,50144
110,12,68756
111,2,43477
112,2,64675
113,1,25792
114,12,9280
115,2,26448
116,8,43955
117,1,42973
118,2,12044
119,2,3666
120,12,28093
121,16,57524
122,2,1633
123,2,52511
124,2,50912
125,1,41678
126,2,32292
127,2,14052
128,2,22685
129,2,44212
130,16,51951
131,2,42431
132,2,46410
133,2,22632
134,12,34685
135,17,21148
136,2,54864
137,12,14147
138,8,69602
139,1,20070
140,3,1205
141,7,40013
142,12,11870
143,8,16593
144,1,60420
145,8,51604
146,1,70322
147,12,17144
148,8,62279
149,8,62021
150,1,40986
151,12,35586
152,8,3326
153,1,43835
154,0,55588
155,12,20311
156,21,44502
157,2,4591
158,2,8729
159,2,61269
160,12,53440
161,3,67472
162,5,17737
163,12,51722
164,2,18861
165,2,23186
166,12,9061
167,12,18625
168,3,34194
169,1,9587
170,8,9752
171,8,18898
172,3,57147
173,8,36880
174,3,45331
175,2,1035
176,3,19112
177,1,58810
178,16,52155
179,2,29256
180,2,33638
181,1,40840
182,2,67546
183,2,60103
184,10,38972
185,6,38248
186,1,51591
187,15,70084
188,2,875
189,12,27180
190,2,16204
191,8,20829
192,16,2841
193,2,51741
194,12,49444
195,2,33307
196,1,36123
197,1,15384
198,0,26430
199,8,65082
200,4,45832
201,0,57923
202,2,48413
203,2,14236
204,1,50219
205,1,14603
206,12,69832
207,2,26488
208,2,38647
209,2,7447
210,12,56396
211,1,57468
212,1,42541
213,1,45003
214,2,37222
215,8,36111
216,0,65968
217,2,11737
218,2,42021
219,12,11288
220,1,4519
221,8,43471
222,4,39684
223,1,64308
224,16,29204
225,1,44743
226,8,61971
227,4,5597
228,7,24354
229,1,35073
230,8,33433
231,12,41520
232,2,30930
233,18,68683
234,16,37739
235,3,39688
236,8,1173
237,8,34785
238,1,29426
239,4,8602
240,1,46290
241,4,41642
242,2,37996
243,1,13073
244,12,17812
245,16,6275
246,1,27269
247,4,8521
248,11,4772
249,8,1036
250,12,54057
251,8,10740
252,7,37584
253,2,8343
254,12,8773
255,2,56754
256,1,9925
257,12,60742
258,4,749
259,12,37748
260,3,23203
261,16,44142
262,8,62145
263,1,64972
264,1,47294
265,1,55436
266,1,15710
267,2,45321
268,1,3983
269,21,63023
270,12,24280
271,3,69641
272,1,17382
273,16,7764
274,1,66
275,12,9833
276,1,280
277,19,52837
278,8,8185
279,2,33357
280,7,4393
281,12,27240
282,21,67220
283,12,60913
284,16,24956
285,1,13852
286,2,69198
287,1,37235
288,12,23336
289,12,22554
290,1,8737
291,12,1980
292,16,38057
293,1,66848
294,1,35823
295,0,57415
296,3,14537
297,1,48221
298,16,14599
299,4,42891
300,5,6519
301,1,46603
302,1,19190
303,0,33172
304,8,46151
305,1,43945
306,1,41424
307,3,42579
308,8,10887
309,1,69427
310,5,2698
311,1,29886
312,16,64980
313,8,71345
314,16,1469
315,12,55137
316,1,22428
317,12,4328
318,3,38831
319,1,29725
320,8,12997
321,2,65160
322,12,33390
323,1,62635
324,3,37635
325,21,3529
326,8,4175
327,12,26780
328,5,5790
329,1,45498
330,4,22162
331,8,13182
332,1,9182
333,8,741
334,8,27773
335,1,12016
336,16,23989
337,12,69903
338,8,57081
339,1,18892
340,1,13149
341,1,48791
342,8,22525
343,8,45173
